video_confidence,text_confidence,final_confidence
58,91,63
94,83,88
60,73,59
100,45,81
34,42,31
71,34,63
53,69,58
90,35,74
81,71,80
44,53,42
41,54,46
64,93,73
40,30,36
57,91,64
36,94,48
41,35,35
41,79,55
78,87,79
87,50,72
76,69,76
70,65,63
42,71,54
39,39,40
93,51,76
76,86,80
57,82,62
98,69,87
87,62,75
67,45,64
73,66,71
41,50,43
42,68,52
41,49,39
51,93,58
47,64,48
39,68,42
49,51,46
49,54,54
54,93,63
80,65,73
77,32,67
67,68,63
91,89,88
72,34,64
34,31,28
55,73,60
93,62,84
67,54,68
99,92,93
59,90,73
34,94,50
82,72,75
46,61,53
83,37,73
55,45,56
96,60,83
98,85,99
68,56,60
91,35,70
33,86,48
31,61,40
50,66,51
100,75,93
35,77,49
32,74,39
41,69,44
83,73,84
85,71,79
31,86,43
91,73,90
49,74,53
72,78,77
89,61,76
81,82,85
82,98,84
41,78,56
50,53,48
83,62,76
36,33,32
86,55,76
50,48,45
65,61,65
30,30,34
31,60,36
49,88,62
61,42,57
59,61,62
58,48,49
58,94,69
78,88,77
74,94,81
49,52,49
77,72,80
43,84,52
96,52,85
70,56,68
59,91,63
43,35,35
63,85,69
76,93,82
74,30,61
88,42,69
78,57,72
81,34,64
92,81,92
85,42,67
69,93,78
32,34,28
42,44,41
90,72,86
62,62,59
93,60,83
52,72,59
95,64,89
32,85,44
95,74,93
33,30,32
45,96,64
92,34,73
37,68,50
60,63,58
81,98,89
31,61,36
61,68,63
36,38,35
95,67,82
30,77,39
45,68,54
67,54,58
73,72,71
67,92,76
89,64,85
96,39,78
99,72,94
76,34,64
75,96,84
78,80,76
82,52,77
85,83,80
97,83,87
84,53,75
75,78,76
47,84,61
99,93,93
75,93,77
67,33,51
100,77,96
61,55,61
57,73,62
53,40,54
55,88,64
81,82,80
39,35,37
66,32,55
73,98,85
47,80,51
80,37,62
82,36,71
76,84,78
39,70,44
50,85,63
30,94,48
31,50,32
50,86,64
43,83,55
88,90,90
76,88,82
59,73,58
97,96,99
49,62,57
75,74,71
54,84,68
53,74,61
80,89,78
56,62,57
58,36,49
94,64,82
74,57,67
56,83,63
48,44,50
35,70,44
82,85,85
57,58,53
79,62,68
